Country,code,CO2_emission
United Kingdom,GBR,384706.7886
United States,USA,5269529.513
Uruguay,URY,6840.33975
Uzbekistan,UZB,98998.94727
Vanuatu,VUT,181.36353
Venezuela,VEN,159567.6354
Vietnam,VNM,198826.5488
Yemen,YEM,18965.75479
Zambia,ZMB,4746.14803
Zimbabwe,ZWE,10397.71847
